Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check,predicted_log_sigma,predicted_sigma
Li6.300Ga0.15La3Zr1.75Ta0.25O12,6.3,Ga,0.15,Ta,0.25,Ga+Ta,0.0,-3.3426155179955424,0.0004543436702560768
Li6.200Fe0.10La3Zr1.75W0.25O12,6.2,Fe,0.1,W,0.25,Fe+W,0.0,-3.343011443101645,0.0004539296560293733
Li6.450Fe0.10La3Zr1.75Sb0.25O12,6.45,Fe,0.1,Sb,0.25,Fe+Sb,0.0,-3.34515409772885,0.0004516956438737776
Li6.300Ga0.15La3Zr1.75Nb0.25O12,6.3,Ga,0.15,Nb,0.25,Ga+Nb,0.0,-3.346320003791383,0.00045048464893258244
Li6.350Fe0.15La3Zr1.80Sb0.20O12,6.35,Fe,0.15,Sb,0.2,Fe+Sb,0.0,-3.34666418535787,0.0004501277779699275
Li6.250Fe0.15La3Zr1.70Sb0.30O12,6.25,Fe,0.15,Sb,0.3,Fe+Sb,0.0,-3.348017145612626,0.0004487276741594597
Li6.150Fe0.15La3Zr1.80W0.20O12,6.15,Fe,0.15,W,0.2,Fe+W,0.0,-3.3481348102228488,0.0004486061155922149
Li6.250Ga0.15La3Zr1.70Ta0.30O12,6.25,Ga,0.15,Ta,0.3,Ga+Ta,0.0,-3.3495643202132555,0.0004471319254105924
Li6.300Fe0.15La3Zr1.75Sb0.25O12,6.3,Fe,0.15,Sb,0.25,Fe+Sb,0.0,-3.3502682421632346,0.00044640778303432413
Li6.250Ga0.15La3Zr1.70Nb0.30O12,6.25,Ga,0.15,Nb,0.3,Ga+Nb,0.0,-3.3510369377877196,0.0004456183458761553
Li6.150Ga0.20La3Zr1.75Ta0.25O12,6.15,Ga,0.2,Ta,0.25,Ga+Ta,0.0,-3.3525220242462104,0.00044409713942906905
Li6.350Ga0.15La3Zr1.90W0.10O12,6.35,Ga,0.15,W,0.1,Ga+W,0.0,-3.3547229457978514,0.0004418522330629875
Li6.200Fe0.20La3Zr1.80Sb0.20O12,6.2,Fe,0.2,Sb,0.2,Fe+Sb,0.0,-3.3564473682249507,0.0004401012801002056
Li6.400Ga0.10La3Zr1.70Nb0.30O12,6.4,Ga,0.1,Nb,0.3,Ga+Nb,0.0,-3.3599941929815804,0.0004365216689996251
Li6.300Fe0.10La3Zr1.80W0.20O12,6.3,Fe,0.1,W,0.2,Fe+W,-0.0,-3.3624668932058683,0.0004340433500336653
Li6.150Ga0.15La3Zr1.60Sb0.40O12,6.15,Ga,0.15,Sb,0.4,Ga+Sb,0.0,-3.371679810251614,0.000424932736155751
Li6.200Ga0.20La3Zr1.80Nb0.20O12,6.2,Ga,0.2,Nb,0.2,Ga+Nb,0.0,-3.372705387112482,0.0004239304507546633
Li6.450Ga0.10La3Zr1.75Nb0.25O12,6.45,Ga,0.1,Nb,0.25,Ga+Nb,0.0,-3.3740442671607305,0.0004226255343124071
Li6.500Fe0.10La3Zr1.80Sb0.20O12,6.5,Fe,0.1,Sb,0.2,Fe+Sb,0.0,-3.3744628462514266,0.00042221839814974503
Li6.150Ga0.20La3Zr1.75Sb0.25O12,6.15,Ga,0.2,Sb,0.25,Ga+Sb,0.0,-3.3795382181686127,0.00041731287307231706
Li6.300Ga0.10La3Zr1.60Nb0.40O12,6.3,Ga,0.1,Nb,0.4,Ga+Nb,0.0,-3.385478429100299,0.0004116437926614328
Li6.300Ga0.15La3Zr1.75Sb0.25O12,6.3,Ga,0.15,Sb,0.25,Ga+Sb,0.0,-3.388281915144856,0.0004089950810878522
Li6.150Ga0.15La3Zr1.80W0.20O12,6.15,Ga,0.15,W,0.2,Ga+W,0.0,-3.3885384655057975,0.00040875354716515816
