formula
Li5.75Al0.25La2.55Sr0.45Zr1.05Nb0.95O12
Li5.75Al0.25La2.55Y0.45Zr1.5Nb0.5O12
Li5.75Al0.25La2.55Y0.45Zr1.75W0.25O12
Li5.75Al0.25La2.65Sr0.35Zr1.15Nb0.85O12
Li5.75Al0.25La2.65Y0.35Zr1.5Nb0.5O12
Li5.75Al0.25La2.65Y0.35Zr1.75W0.25O12
Li5.75Al0.25La2.6Sr0.4Zr1.1Nb0.9O12
Li5.75Al0.25La2.6Sr0.4Zr1.55W0.45O12
Li5.75Al0.25La2.6Y0.4Zr1.5Nb0.5O12
Li5.75Al0.25La2.6Y0.4Zr1.75W0.25O12
Li5.75Al0.25La2.75Sr0.25Zr1.25Nb0.75O12
Li5.75Al0.25La2.75Y0.25Zr1.5Nb0.5O12
Li5.75Al0.25La2.75Y0.25Zr1.75W0.25O12
Li5.75Al0.25La2.7Sr0.3Zr1.2Nb0.8O12
Li5.75Al0.25La2.7Sr0.3Zr1.6W0.4O12
Li5.75Al0.25La2.7Y0.3Zr1.5Nb0.5O12
Li5.75Al0.25La2.7Y0.3Zr1.75W0.25O12
Li5.75Al0.25La2.85Sr0.15Zr1.35Nb0.65O12
Li5.75Al0.25La2.85Y0.15Zr1.5Nb0.5O12
Li5.75Al0.25La2.85Y0.15Zr1.75W0.25O12
Li5.75Al0.25La2.8Sr0.2Zr1.3Nb0.7O12
Li5.75Al0.25La2.8Sr0.2Zr1.65W0.35O12
Li5.75Al0.25La2.8Y0.2Zr1.5Nb0.5O12
Li5.75Al0.25La2.8Y0.2Zr1.75W0.25O12
Li5.75Al0.25La2.95Sr0.05Zr1.45Nb0.55O12
Li5.75Al0.25La2.95Y0.05Zr1.5Nb0.5O12
Li5.75Al0.25La2.95Y0.05Zr1.75W0.25O12
Li5.75Al0.25La2.9Sr0.1Zr1.4Nb0.6O12
Li5.75Al0.25La2.9Sr0.1Zr1.7W0.3O12
Li5.75Al0.25La2.9Y0.1Zr1.5Nb0.5O12
Li5.75Al0.25La2.9Y0.1Zr1.75W0.25O12
Li5.75Al0.25La3.0Zr1.5Nb0.5O12
Li5.75Al0.25La3.0Zr1.75W0.25O12
Li5.75Ga0.25La2.55Ba0.45Zr1.05Sb0.95O12
Li5.75Ga0.25La2.55Ba0.45Zr1.05Ta0.95O12
Li5.75Ga0.25La2.55Ca0.45Zr1.05Sb0.95O12
Li5.75Ga0.25La2.55Ca0.45Zr1.05Ta0.95O12
Li5.75Ga0.25La2.55Gd0.45Zr1.5Sb0.5O12
Li5.75Ga0.25La2.55Gd0.45Zr1.5Ta0.5O12
Li5.75Ga0.25La2.55Gd0.45Zr1.75Te0.25O12
Li5.75Ga0.25La2.65Ba0.35Zr1.15Sb0.85O12
Li5.75Ga0.25La2.65Ba0.35Zr1.15Ta0.85O12
Li5.75Ga0.25La2.65Ca0.35Zr1.15Sb0.85O12
Li5.75Ga0.25La2.65Ca0.35Zr1.15Ta0.85O12
Li5.75Ga0.25La2.65Gd0.35Zr1.5Sb0.5O12
Li5.75Ga0.25La2.65Gd0.35Zr1.5Ta0.5O12
Li5.75Ga0.25La2.65Gd0.35Zr1.75Te0.25O12
Li5.75Ga0.25La2.6Ba0.4Zr1.1Sb0.9O12
Li5.75Ga0.25La2.6Ba0.4Zr1.1Ta0.9O12
Li5.75Ga0.25La2.6Ba0.4Zr1.55Te0.45O12
Li5.75Ga0.25La2.6Ca0.4Zr1.1Sb0.9O12
