formula,predicted_conductivity,predicted_sigma_err,relaxed_energy_per_atom,relaxed_volume_per_atom,relaxed_cif_path,relax_mode
Li6.4La3.0Zr1.4Ta0.6O12,0.0005845728863307,0.0009485440646422,-7.094189167022705,10.536465982434626,03_structures\relaxed\Li6.4La3.0Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4La2.95Gd0.05Zr1.4Ta0.6O12,0.0004829094223699,0.0008249856455665,-7.157935619354248,12.175886872567489,03_structures\relaxed\Li6.4La2.95Gd0.05Zr1.4Ta0.6O12_evaluated.cif,full
Li6.45La2.95Ca0.05Zr1.4Ta0.6O12,0.0005333473000561,0.0008740080518463,-6.874583721160889,9.927135167817683,03_structures\relaxed\Li6.45La2.95Ca0.05Zr1.4Ta0.6O12_evaluated.cif,full
Li6.45La2.95Ba0.05Zr1.4Ta0.6O12,0.0005568100491874,0.0009021967392135,-6.947225093841553,10.01591164571052,03_structures\relaxed\Li6.45La2.95Ba0.05Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4La2.9Gd0.1Zr1.4Ta0.6O12,0.0004645991843895,0.0008007537673553,-7.157935619354248,12.175886872567489,03_structures\relaxed\Li6.4La2.9Gd0.1Zr1.4Ta0.6O12_evaluated.cif,full
Li6.35Ga0.05La2.9Ca0.1Zr1.4Ta0.6O12,0.0001308234241466,0.000412303704802,-6.9700798988342285,9.994355859728048,03_structures\relaxed\Li6.35Ga0.05La2.9Ca0.1Zr1.4Ta0.6O12_evaluated.cif,full
Li6.35La3.0Zr1.35Ta0.65O12,0.0004974451307786,0.0008204083730437,-7.094189167022705,10.536465982434626,03_structures\relaxed\Li6.35La3.0Zr1.35Ta0.65O12_evaluated.cif,full
Li6.35Ga0.05La2.9Ba0.1Zr1.4Ta0.6O12,0.0001315091818226,0.0004147706592301,-6.847148895263672,9.891699794309876,03_structures\relaxed\Li6.35Ga0.05La2.9Ba0.1Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4Ga0.05La2.85Ca0.15Zr1.4Ta0.6O12,0.0001383063643451,0.0004367929118008,-6.9700798988342285,9.994355859728048,03_structures\relaxed\Li6.4Ga0.05La2.85Ca0.15Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4La2.85Gd0.15Zr1.4Ta0.6O12,0.000446180274771,0.0007764461406718,-7.157935619354248,12.175886872567489,03_structures\relaxed\Li6.4La2.85Gd0.15Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4La2.95Ca0.05Zr1.35Ta0.65O12,0.0004778911360274,0.0008184800155779,-6.874583721160889,9.927135167817683,03_structures\relaxed\Li6.4La2.95Ca0.05Zr1.35Ta0.65O12_evaluated.cif,full
Li6.4La2.8Gd0.2Zr1.4Ta0.6O12,0.0004277371957607,0.0007520806633405,-7.157935619354248,12.175886872567489,03_structures\relaxed\Li6.4La2.8Gd0.2Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4La2.95Ba0.05Zr1.35Ta0.65O12,0.0004971851054699,0.0008418498133336,-6.947225093841553,10.01591164571052,03_structures\relaxed\Li6.4La2.95Ba0.05Zr1.35Ta0.65O12_evaluated.cif,full
Li6.4Ga0.05La2.85Ba0.15Zr1.4Ta0.6O12,0.0001414150660258,0.0004475334087029,-6.847148895263672,9.891699794309876,03_structures\relaxed\Li6.4Ga0.05La2.85Ba0.15Zr1.4Ta0.6O12_evaluated.cif,full
Li6.35La2.95Gd0.05Zr1.35Ta0.65O12,0.0003993021868433,0.0007091501297542,-7.157935619354248,12.175886872567489,03_structures\relaxed\Li6.35La2.95Gd0.05Zr1.35Ta0.65O12_evaluated.cif,full
Li6.45Ga0.05La2.8Ca0.2Zr1.4Ta0.6O12,0.0001422241025145,0.0004513939698021,-6.9700798988342285,9.994355859728048,03_structures\relaxed\Li6.45Ga0.05La2.8Ca0.2Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4La2.75Gd0.25Zr1.4Ta0.6O12,0.0004093496877371,0.0007276799610796,-7.157935619354248,12.175886872567489,03_structures\relaxed\Li6.4La2.75Gd0.25Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4Ga0.1La2.7Ca0.3Zr1.4Ta0.6O12,0.000144798262649,0.0004616243560958,-6.9700798988342285,9.994355859728048,03_structures\relaxed\Li6.4Ga0.1La2.7Ca0.3Zr1.4Ta0.6O12_evaluated.cif,full
Li6.4La2.7Gd0.3Zr1.4Ta0.6O12,0.0003910922247742,0.0007032714482962,-7.157935619354248,12.175886872567489,03_structures\relaxed\Li6.4La2.7Gd0.3Zr1.4Ta0.6O12_evaluated.cif,full
