Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -675.5180    -684.7927       9.2747   747.4
0.0020        -675.4892    -684.6263       9.1371   736.3
0.0040        -675.6560    -684.1466       8.4906   684.2
0.0060        -675.5718    -683.4240       7.8523   632.8
0.0080        -675.3103    -682.5273       7.2170   581.6
0.0100        -675.2622    -681.5867       6.3245   509.7
0.0120        -675.0856    -680.6777       5.5921   450.7
0.0140        -674.7716    -679.8975       5.1258   413.1
0.0160        -674.7428    -679.3348       4.5920   370.1
0.0180        -674.4084    -678.9553       4.5470   366.4
0.0200        -674.0230    -678.7499       4.7269   380.9
0.0220        -673.6903    -678.7338       5.0435   406.4
0.0240        -673.4945    -678.7971       5.3025   427.3
0.0260        -673.5698    -678.9359       5.3661   432.4
0.0280        -673.2639    -679.1163       5.8524   471.6
0.0300        -673.2305    -679.3041       6.0736   489.5
0.0320        -673.2358    -679.4553       6.2194   501.2
0.0340        -672.8101    -679.5213       6.7112   540.8
0.0360        -672.6861    -679.5219       6.8358   550.9
0.0380        -672.6937    -679.4492       6.7555   544.4
0.0400        -672.6930    -679.3024       6.6093   532.6
0.0420        -672.5045    -679.0968       6.5923   531.3
0.0440        -672.5826    -678.8233       6.2407   502.9
0.0460        -672.3223    -678.5637       6.2414   503.0
0.0480        -672.2983    -678.3428       6.0445   487.1
0.0500        -672.3298    -678.1865       5.8567   472.0
0.0520        -672.2600    -678.1023       5.8423   470.8
0.0540        -672.1418    -678.1082       5.9663   480.8
0.0560        -671.9400    -678.1624       6.2224   501.4
0.0580        -671.4078    -678.2254       6.8176   549.4
0.0600        -671.2245    -678.1836       6.9591   560.8
0.0620        -670.9964    -678.0508       7.0544   568.5
0.0640        -670.7565    -677.8882       7.1318   574.7
0.0660        -670.7845    -677.6930       6.9085   556.7
0.0680        -670.1158    -677.5041       7.3883   595.4
0.0700        -670.0415    -677.3478       7.3063   588.8
0.0720        -669.9070    -677.2123       7.3053   588.7
0.0740        -670.0779    -677.1266       7.0487   568.0
0.0760        -670.2510    -677.0855       6.8346   550.8
0.0780        -669.9413    -677.1174       7.1760   578.3
0.0800        -669.9740    -677.2067       7.2327   582.9
0.0820        -669.9200    -677.3608       7.4408   599.6
0.0840        -669.6924    -677.5287       7.8363   631.5
0.0860        -669.7742    -677.6562       7.8820   635.2
0.0880        -669.8582    -677.7069       7.8487   632.5
0.0900        -669.6313    -677.7372       8.1058   653.2
0.0920        -669.5992    -677.7211       8.1219   654.5
0.0940        -669.7261    -677.6210       7.8949   636.2
0.0960        -669.5745    -677.4288       7.8544   633.0
0.0980        -669.2546    -677.1359       7.8814   635.1
0.1000        -668.9195    -676.7556       7.8361   631.5
0.1020        -668.8780    -676.3969       7.5189   605.9
0.1040        -668.7209    -676.0656       7.3447   591.9
0.1060        -668.1788    -675.8094       7.6307   614.9
0.1080        -667.9081    -675.6172       7.7091   621.3
0.1100        -668.1759    -675.4800       7.3041   588.6
0.1120        -668.1018    -675.4597       7.3579   592.9
0.1140        -667.8952    -675.5568       7.6617   617.4
0.1160        -667.8161    -675.7246       7.9085   637.3
0.1180        -667.4873    -675.9005       8.4132   678.0
0.1200        -667.3207    -676.1041       8.7834   707.8
0.1220        -667.5210    -676.2507       8.7297   703.5
0.1240        -667.0969    -676.3422       9.2452   745.0
0.1260        -667.3478    -676.3737       9.0259   727.4
0.1280        -667.0652    -676.3609       9.2957   749.1
