Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1300        -667.3942    -676.2819       8.8877   716.2
0.1320        -667.5257    -676.1580       8.6323   695.6
0.1340        -667.2977    -676.0430       8.7452   704.8
0.1360        -667.4266    -675.9926       8.5660   690.3
0.1380        -667.6516    -676.0092       8.3576   673.5
0.1400        -667.3681    -676.0845       8.7164   702.4
0.1420        -667.4206    -676.2059       8.7853   708.0
0.1440        -667.7332    -676.3370       8.6038   693.4
0.1460        -668.1594    -676.4803       8.3209   670.6
0.1480        -668.0657    -676.5814       8.5157   686.3
0.1500        -667.5846    -676.5833       8.9986   725.2
0.1520        -667.6684    -676.4753       8.8070   709.7
0.1540        -667.4604    -676.2709       8.8106   710.0
0.1560        -667.2896    -676.0220       8.7323   703.7
0.1580        -667.4937    -675.7292       8.2356   663.7
0.1600        -667.5311    -675.4496       7.9186   638.1
0.1620        -667.0246    -675.2358       8.2111   661.7
0.1640        -666.8859    -675.1379       8.2521   665.0
0.1660        -666.8987    -675.1439       8.2452   664.5
0.1680        -666.5589    -675.2343       8.6754   699.1
0.1700        -666.5361    -675.4204       8.8843   716.0
0.1720        -666.4395    -675.6385       9.1991   741.3
0.1740        -666.3934    -675.7870       9.3936   757.0
0.1760        -666.4366    -675.8619       9.4252   759.6
0.1780        -666.2557    -675.9092       9.6536   778.0
0.1800        -666.1602    -675.9162       9.7560   786.2
0.1820        -666.0667    -675.8893       9.8225   791.6
0.1840        -666.2293    -675.9865       9.7572   786.3
0.1860        -666.2391    -676.1536       9.9145   799.0
0.1880        -666.1621    -676.3184      10.1563   818.5
0.1900        -666.0148    -676.5062      10.4914   845.5
0.1920        -665.5900    -676.6459      11.0559   891.0
0.1940        -665.3141    -676.6932      11.3791   917.0
0.1960        -665.5511    -676.6346      11.0835   893.2
0.1980        -665.4490    -676.4809      11.0319   889.0
0.2000        -665.5710    -676.2154      10.6444   857.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -674.1495    -684.7927      10.6432   857.7
0.0020        -673.9585    -684.6033      10.6448   857.8
0.0040        -674.1034    -684.0590       9.9556   802.3
0.0060        -674.1279    -683.2217       9.0938   732.8
0.0080        -674.0831    -682.2001       8.1169   654.1
0.0100        -674.1627    -681.1082       6.9455   559.7
