Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -676.3114    -684.7927       8.4813   683.5
0.0020        -676.4521    -684.6545       8.2024   661.0
0.0040        -676.2131    -684.2631       8.0499   648.7
0.0060        -676.3567    -683.6683       7.3115   589.2
0.0080        -676.4101    -682.9518       6.5417   527.2
0.0100        -676.6101    -682.1949       5.5848   450.1
0.0120        -676.3816    -681.4700       5.0884   410.1
0.0140        -676.3457    -680.8230       4.4773   360.8
0.0160        -676.3078    -680.3597       4.0519   326.5
0.0180        -676.2705    -680.0603       3.7898   305.4
0.0200        -676.0204    -679.9001       3.8797   312.7
0.0220        -675.8194    -679.8452       4.0257   324.4
0.0240        -675.5560    -679.8499       4.2939   346.0
0.0260        -675.5119    -679.8964       4.3845   353.3
0.0280        -675.6242    -679.9769       4.3528   350.8
0.0300        -675.6138    -680.0437       4.4299   357.0
0.0320        -675.4260    -680.0613       4.6353   373.5
0.0340        -675.2592    -680.0519       4.7927   386.2
0.0360        -675.1146    -679.9989       4.8843   393.6
0.0380        -675.0662    -679.9349       4.8687   392.4
0.0400        -675.0684    -679.8411       4.7728   384.6
0.0420        -675.0103    -679.7473       4.7370   381.7
0.0440        -674.8851    -679.6497       4.7646   384.0
0.0460        -674.8528    -679.5341       4.6813   377.3
0.0480        -674.7642    -679.4241       4.6599   375.5
0.0500        -674.7390    -679.3261       4.5871   369.7
0.0520        -674.5809    -679.2626       4.6818   377.3
0.0540        -674.4682    -679.2004       4.7321   381.3
0.0560        -674.3583    -679.1499       4.7916   386.1
0.0580        -674.2485    -679.0651       4.8165   388.1
0.0600        -674.1757    -679.0001       4.8244   388.8
0.0620        -674.1537    -678.9756       4.8219   388.6
0.0640        -674.3727    -678.9864       4.6137   371.8
0.0660        -674.2952    -679.0475       4.7523   383.0
0.0680        -674.1660    -679.1367       4.9707   400.6
0.0700        -674.0347    -679.2742       5.2395   422.2
0.0720        -673.9816    -679.4199       5.4383   438.3
0.0740        -674.1916    -679.5243       5.3327   429.7
0.0760        -673.9031    -679.5804       5.6774   457.5
0.0780        -673.8002    -679.5778       5.7777   465.6
0.0800        -673.4569    -679.5388       6.0818   490.1
0.0820        -673.1240    -679.4669       6.3430   511.2
0.0840        -672.8688    -679.3223       6.4535   520.1
0.0860        -672.7391    -679.1525       6.4133   516.8
0.0880        -672.7587    -678.9575       6.1988   499.5
0.0900        -672.7647    -678.7870       6.0223   485.3
0.0920        -672.5761    -678.6857       6.1096   492.4
0.0940        -672.5135    -678.5986       6.0852   490.4
0.0960        -672.4682    -678.5150       6.0468   487.3
0.0980        -672.5407    -678.4341       5.8933   474.9
0.1000        -672.6335    -678.3745       5.7410   462.6
0.1020        -672.8014    -678.3242       5.5228   445.1
0.1040        -672.7145    -678.3245       5.6100   452.1
0.1060        -672.5956    -678.4183       5.8227   469.2
0.1080        -672.5721    -678.5842       6.0122   484.5
0.1100        -672.3100    -678.8031       6.4931   523.3
0.1120        -672.2838    -679.0109       6.7271   542.1
0.1140        -672.1570    -679.2020       7.0450   567.7
0.1160        -671.8905    -679.3445       7.4541   600.7
0.1180        -671.7824    -679.4006       7.6183   613.9
0.1200        -671.6190    -679.3876       7.7686   626.0
0.1220        -671.7933    -679.3099       7.5167   605.7
0.1240        -671.9285    -679.1255       7.1970   580.0
0.1260        -671.8409    -678.8870       7.0461   567.8
0.1280        -671.6586    -678.5887       6.9301   558.5
0.1300        -671.6832    -678.2968       6.6136   533.0
0.1320        -671.5580    -678.0663       6.5084   524.5
0.1340        -671.4876    -677.9017       6.4141   516.9
0.1360        -671.4760    -677.7543       6.2784   506.0
0.1380        -671.4613    -677.6161       6.1548   496.0
0.1400        -671.3485    -677.4995       6.1510   495.7
0.1420        -671.3103    -677.4244       6.1142   492.7
0.1440        -671.3560    -677.4146       6.0587   488.2
0.1460        -671.2604    -677.4788       6.2183   501.1
0.1480        -671.3059    -677.6078       6.3019   507.9
0.1500        -671.2467    -677.8087       6.5620   528.8
0.1520        -671.1540    -678.0396       6.8856   554.9
0.1540        -671.2329    -678.2719       7.0389   567.2
0.1560        -671.0397    -678.4675       7.4278   598.6
0.1580        -671.0878    -678.6019       7.5141   605.5
0.1600        -671.3835    -678.6765       7.2931   587.7
0.1620        -671.2259    -678.6991       7.4732   602.2
0.1640        -671.3136    -678.6653       7.3516   592.4
0.1660        -671.0027    -678.6066       7.6039   612.8
0.1680        -671.0920    -678.4790       7.3870   595.3
0.1700        -671.1473    -678.3505       7.2032   580.5
0.1720        -671.2017    -678.2089       7.0072   564.7
0.1740        -671.3258    -678.0835       6.7577   544.6
0.1760        -671.3676    -678.0034       6.6358   534.8
0.1780        -671.4175    -677.9731       6.5556   528.3
0.1800        -671.1397    -677.9427       6.8031   548.2
0.1820        -671.1846    -677.9257       6.7410   543.2
0.1840        -671.0044    -677.9231       6.9187   557.6
0.1860        -670.9825    -677.8823       6.8998   556.0
0.1880        -670.6764    -677.8121       7.1357   575.0
0.1900        -670.8907    -677.6892       6.7986   547.9
0.1920        -670.9290    -677.5826       6.6535   536.2
0.1940        -670.7901    -677.4993       6.7092   540.7
0.1960        -670.8252    -677.5125       6.6872   538.9
0.1980        -670.6555    -677.6443       6.9888   563.2
0.2000        -670.3858    -677.8170       7.4312   598.9
