formula,sigma,log_sigma
Li0.3La0.7Ti0.6Al0.4O3,1.04e-07,-6.982966660701219
Li0.3Y0.9P1O4,4.64e-07,-6.333
Li0.45La0.52Ti1O3,0.000643,-3.2026463086937507
Li0.45La0.55Ti0.9Al0.1O3,0.00151,-2.8210230527068307
Li0.4La0.6Ti0.8Al0.2O3,0.000568,-3.245651664288981
Li0.5Ce0.25Pr0.25Mo1O4,1e-09,-9.0
Li0.5Ce0.25Sm0.25Mo1O4,1.8e-10,-9.744727494896694
Li0.5Ce0.5Mo1O4,1.3e-08,-7.886056647693163
Li0.5La0.4Nd0.1Ti1O3,0.001,-3.0
Li0.5La0.5Ti1O3,0.00049055,-3.642429133630484
Li0.68Ga0.68Si2.33O6,3.15e-11,-10.50228226
Li0.6Y0.8P1O4,1.41e-05,-4.851
Li0.76La1Mg0.08O2,7.27e-10,-9.138465589140962
Li0.7Ti1.7Al0.3P3O12,0.00033265,-3.6704999999999997
Li0.83Mg0.83In0.17P1O4,1.41e-09,-8.85
Li0.85Mg0.85In0.15P1O4,1.26e-09,-8.899
Li0.86Hf2.035P3O12,9.2e-08,-7.036212172654444
Li0.8La0.066Zr2P3O12,8.2e-06,-5.086
Li0.8Sn0.8S2,0.00012,-3.9208187539523753
Li0.91Hf2.022P3O12,3.2e-07,-6.494850021680094
Li0.95Mg0.95In0.05P1O4,1.12e-10,-9.95
Li0.96Ga0.96Si2.04O6,2.35e-11,-10.62874643
Li0.98Zr1.98Nb0.02P3O12,2.5e-07,-6.602
Li0.995Mg0.505Ti1.5O4,1.53e-11,-10.8153085691824
Li0.9Mg0.9In0.1P1O4,5.01e-10,-9.3
Li0.9Y0.7P1O4,6.57e-09,-8.182
Li0.9Zr0.1Sc0.9O2,1e-10,-10.0
Li0.9Zr1.9Nb0.1P3O12,1.35e-06,-5.869
Li1.02Y0.02Zr1.98P3O12,1.15e-07,-6.939
Li1.05Ti1.95Al0.05P1O4,1.4e-06,-5.853
Li1.05Ti1.95Al0.05P3O12,0.0011,-2.958607314841775
Li1.05Ti1.95Cr0.05P3O12,0.00018,-3.744727494896694
Li1.05Ti1.95Fe0.05P3O12,0.00013,-3.886056647693163
Li1.076Ti1.462Al0.6923P3O12,0.000825,-3.083
Li1.07Mg0.395Ti1.535O4,6.56e-10,-9.18309616062434
Li1.14Mg0.3Ti1.56O4,1.51e-09,-8.821023052706831
Li1.15Ti1.85Fe0.15P3O12,0.000522,-3.282164748498869
Li1.15Y0.15Zr1.85P3O12,7.1e-05,-4.1483708256404626
Li1.1Al0.1Ge1.9P3O12,2.9e-06,-5.537301001050522
Li1.1Hf1.9Cr0.1P3O12,9.35e-08,-7.029
Li1.1Hf1.9Fe0.1P3O12,0.000107,-3.9703081111573955
Li1.1Hf1.9In0.1P3O12,2.615e-05,-5.144941317444092
Li1.1Hf1.9Sc0.1P3O12,2.45e-05,-4.610416957817733
Li1.1Lu0.1Hf1.9P3O12,5.88e-05,-4.230311336961931
Li1.1Sc0.1Ti1.9P3O12,0.000158,-3.8011714565227885
Li1.1Ti1.9Al0.1P3O12,3e-05,-4.522
Li1.1Ti1.9Cr0.1P3O12,0.00026,-3.5850266520291822
Li1.1Ti1.9Fe0.1P3O12,0.00063,-3.2006594505464183
Li1.1Y0.1Hf1.9P3O12,9.18e-05,-4.037
Li1.268Mg0.1Ti1.634O4,1.73e-08,-7.761953896871205
Li1.2Al0.2Ge1.8P3O12,6.385000000000001e-05,-4.208116183410695
Li1.2Hf1.8Cr0.2P3O12,2.54e-07,-6.595
Li1.2Hf1.8Fe0.2P3O12,0.00017,-3.769
Li1.2Hf1.8In0.2P3O12,6.8e-05,-4.6384700043360185
Li1.2Hf1.8Sc0.2P3O12,5.86e-05,-4.232
Li1.2La0.2Ti1.8P3O12,0.000528,-3.277366077466188
Li1.2Lu0.2Hf1.8P3O12,9.79e-05,-4.009108654098432
Li1.2Mg0.2Ti1.6O4,4.24e-09,-8.372634143407268
Li1.2Sc0.2Ti1.8P3O12,0.000246,-3.6090648928966207
Li1.2Ta0.9Al1.1P3O12,6.5e-07,-6.187043321678573
Li1.2Ti0.8Al0.2Ge1P3O12,3e-05,-4.522
Li1.2Ti1.8Al0.2P3O12,0.00338,-2.4710832997223453
Li1.2Ti1.8Cr0.2P3O12,1.83e-05,-4.737
Li1.2Ti1.8Fe0.2P3O12,0.000351,-3.454
Li1.2Ti1.8Ga0.2P3O12,0.000162,-3.7904849854573692
Li1.2Ti1.8In0.2P3O12,0.00039,-3.408935392973501
Li1.2Ti1Al0.2Ge0.8P3O12,3e-05,-4.522
Li1.2Ti2Si0.2P2.8O12,8.6e-05,-4.0655015487564325
Li1.2Y0.2Hf1.8P3O12,3.19e-05,-4.496
Li1.2Y0.2Ti1.8P3O12,0.000504,-3.297
Li1.2Zr0.2Sc0.2Ti1.6P3O12,0.00012,-3.92
Li1.2Zr1.5Sc0.2Ti0.2P3O12,3.1e-07,-6.508
Li1.34Ti1.66O4,6.03e-08,-7.219682687859849
Li1.35Ti1.45Al0.35Ge0.2P3O12,0.000618,-3.209
Li1.3Al0.3Ge1.7P3O12,3.9e-05,-4.408
Li1.3Cr0.3Ge1.7P3O12,3.065e-05,-4.522
Li1.3Eu0.3Ti1.7P3O12,6e-05,-4.221
Li1.3Fe0.3Ge1.7P3O12,3.67e-05,-4.435
Li1.3Hf1.7Cr0.3P3O12,5.26e-07,-6.27900712792313
Li1.3Hf1.7Fe0.3P3O12,5.4e-05,-4.267303120088516
Li1.3Hf1.7In0.3P3O12,7.6e-05,-4.423855827808472
Li1.3Hf1.7Sc0.3P3O12,8.32e-05,-4.079438336854638
Li1.3In0.3Ge1.7P3O12,9.22e-06,-5.035
Li1.3La0.3Ti1.7P3O12,0.000528,-3.277366077466188
Li1.3Lu0.3Hf1.7P3O12,3.56e-05,-4.448275001013563
Li1.3Sc0.15Ti1.7Al0.15P3O12,0.00124,-2.906578314837765
Li1.3Sc0.1Ti1.7Al0.2P3O12,0.000269,-3.57
Li1.3Sc0.2Ti1.7Al0.1P3O12,0.000426,-3.37
Li1.3Sc0.3Ge1.7P3O12,2.98e-05,-4.525
Li1.3Sc0.3Ti1.7P3O12,0.000568,-3.245
Li1.3Ti1.7Al0.3P3O12,0.00121,-2.91721462968355
