formula,sigma,log_sigma
Li4SnSe4,1.0022500000000001e-05,-6.022878745280337
Li4SnSeS3,7.5e-05,-4.1249387366083
Li4Zn(PO4)2,5.0000002775e-11,-13.627853508438662
Li5.08La3Zr0.39Ta1.51O12,0.000103,-3.987162775294828
Li5.2La3Y0.1Nb1.9O12,6.39e-05,-4.1944991418416
Li5.3La3Sm0.15Ta1.85O12,7.11e-06,-5.148130399270234
Li5.4La3Y0.2Nb1.8O12,6.74e-05,-4.17134010346468
Li5.4La3Y0.75Nb1.8O12,2.51e-05,-4.599663139259481
Li5.57La2.95Zr2Fe0.19O12,0.00138,-2.8601209135987635
Li5.5La3Nb1.75In0.25O12,2.4e-05,-4.619394379144197
Li5.5La3Sm0.25Ta1.75O12,5.17e-06,-5.286509456906058
Li5.5La3Y0.25Nb1.75O12,9.18e-05,-4.037157318798758
Li5.5La3Zr2Ga0.5O12,0.0001,-4.0
Li5.5Nd3Zr2Al0.5O12,3.9e-05,-4.4089353929735005
Li5.68La2.95Zr2Fe0.16O12,0.000935,-3.0291883891274822
Li5.72La3Zr1.5Al0.26W0.25O12,0.00049,-3.309803919971486
Li5.74La3Zr1.5Ta0.5O12,0.000903,-3.0443122496864943
Li5.7La3Sm0.35Ta1.65O12,2.15e-05,-4.667561540084395
Li5.9La3Sm0.45Ta1.55O12,1.18e-05,-4.928117992693875
Li51.2La24Zr16Al1.6O96,0.000254,-3.595166283380062
Li5AlO4,5e-10,-9.301029995663981
Li5AlS4,7e-09,-8.376435982160881
Li5B2P(H2S)4,0.00488,-2.421863747448347
Li5BiO5,3.9e-09,-8.4089353929735
Li5GaO4,5e-09,-8.301029995663981
Li5I2N,1.5e-07,-6.823
Li5La3(BiO6)2,2e-05,-4.698
Li5La3(SbO6)2,3.33e-06,-5.47755576649368
Li5La3Nb2O12,6.54e-06,-5.195523150362069
Li5La3Ta2O12,3.4e-06,-5.468
Li5La3Y0.05Nb1.95O12,1.34e-05,-4.872895201635193
Li5La3Y0.15Nb1.85O12,5.71e-06,-5.243363891754152
Li5La3Y0.1Nb1.9O12,1.44e-05,-4.841637507904751
Li5La3Y0.25Nb1.75O12,9.68e-06,-5.014124642691606
Li5La3Y0.2Nb1.8O12,9.13e-06,-5.039529222465701
Li5Nd3(SbO6)2,3.44e-07,-6.569528323846582
Li6.025Si0.025P0.975S5Br1,0.000878,-3.0565054840938974
Li6.02Si0.02P0.98S5Br1,0.000874,-3.058
Li6.05La3Zr2Ga0.25O11.8F0.2,0.00128,-2.8927900303521317
Li6.05Si0.05P0.95S5Br1,0.000439,-3.3572592815147893
Li6.075Si0.075P0.925S5Br1,0.000873,-3.0589857562944305
Li6.08Si0.08P0.92S5Br1,0.000864,-3.063
Li6.125Si0.125P0.875S5Br1,0.000902,-3.0447934624580584
Li6.12Si0.12P0.9S5Br1,0.0009,-3.045
Li6.13Si0.13P0.87S5Br1,0.000901,-3.045
Li6.15Ge0.15P0.85S5I1,3.93e-05,-4.405607449624573
Li6.15La3Zr1.75Ta0.25Al0.2O12,0.00037,-3.431798275933005
Li6.15La3Zr1.75Ta0.25Ga0.2O12,0.00041,-3.3872161432802645
Li6.175Si0.175P0.825S5Br1,0.000931,-3.0310503190186573
Li6.17Si0.17P0.83S5Br1,0.000929,-3.031
Li6.1Ge0.1P0.9S5I1,8.86e-06,-5.052566278112949
Li6.1La3Sm0.55Ta1.45O12,1.4e-05,-4.853871964321762
Li6.1Si0.1P0.95S5Br1,0.000799,-3.097453220686009
Li6.1Si0.1P0.9S5Br1,0.000805,-3.094
Li6.225Si0.225P0.775S5Br1,0.00108,-2.96657624451305
Li6.22Si0.22P0.78S5Br1,0.00108,-2.966
Li6.25Ge0.25P0.75S5I1,0.00015,-3.8239087409443187
Li6.25La3Zr2Ga0.25O12,0.00035,-3.455465977824862
Li6.25P1S5.25Cl0.75,0.014,-1.853
Li6.25Si0.25P0.75S5Br1,0.0014550000000000001,-2.83689044367231
Li6.26La3Zr2Al0.24O12,0.00021,-3.677780705266081
Li6.2Ge0.2P0.8S5I1,3.19e-05,-4.496209316942819
Li6.2La3Zr1.2Sb0.8O12,0.00045,-3.346393743112328
Li6.2La3Zr1.2Ta0.8O12,0.00032,-3.494425010840047
Li6.2La3Zr1.6Mo0.4O12,0.00034,-3.4685210829577446
Li6.2Si0.2P0.8S5Br1,0.001835,-2.737556647693163
Li6.35Si0.35P0.65S5Br1,0.00232,-2.6343920712949283
Li6.3Ge0.3P0.7S5I1,0.00065,-3.1870866433571443
Li6.3Si0.3P0.7S5Br1,0.00174,-2.7597580278930467
Li6.46La3Zr1.95Al0.15O11.86,8.3e-05,-4.08
Li6.4Ge0.4P0.6S5I1,0.0015,-2.8239087409443187
Li6.4La3Zr1.4Sb0.6O12,0.00066,-3.1802280322290657
Li6.4La3Zr1.4Ta0.6O12,0.0015300000000000001,-2.843
Li6.4La3Zr1.7Mo0.3O12,0.000369,-3.43297363384094
Li6.4La3Zr2Al0.19O11.8,0.00031,-3.508319153082864
Li6.4La3Zr2Ga0.2O12,0.0009,-3.045
Li6.55La3Zr1.55Ta0.45O12,0.0004,-3.3979400086720375
Li6.55La3Zr2Ga0.9O12,0.0013,-2.886
Li6.5Ge0.5P0.5S5I1,0.00186,-2.7304870557820835
Li6.5La3Y0.75Nb1.25O12,0.00027,-3.5683181179205063
Li6.5La3Zr1.5Ta0.5O12,0.000794,-3.1
Li6.5La3Zr1.75Mo0.25O12,0.000333,-3.4775557664936803
Li6.5La3Zr1.75Te0.25O12,0.0005635,-3.4816999141190412
Li6.5Si0.5P0.5S5Br1,0.002245,-2.6487779425799407
Li6.5Si0.5P1.5O8,4.49e-07,-6.347753658996677
Li6.65La3Zr1.65Ta0.35O12,0.00046,-3.337242168318426
Li6.6Ge0.6P0.4S5I1,0.00521,-2.2831622767004753
Li6.6La2.5Y0.5Zr1.6Ta0.4O12,0.000226,-3.6454457804262996
Li6.6La2.75Y0.25Zr1.6Ta0.4O12,0.000436,-3.360256755365707
Li6.6La2.875Y0.125Zr1.6Ta0.4O12,0.000317,-3.498470368891124
Li6.6La3Zr1.6Sb0.4O12,0.00077,-3.113254637413759
Li6.6La3Zr1.6Ta0.4O12,0.0006,-3.2322896409719135
Li6.6La3Zr1.8Mo0.2O12,0.000311,-3.5072396109731625
Li6.75La3Zr1.75Nb0.25O12,0.0008,-3.096455006504028
Li6.75La3Zr1.75Ta0.25O12,0.00075,-3.1302403736906905
Li6.75La3Zr1.875Te0.125O12,0.00018385,-3.9527430300610567
Li6.7Ge0.7P0.3S5I1,0.00554,-2.25649023527157
Li6.7La3Zr1.7Ta0.3O12,0.0008600000000000001,-3.074075454631372
Li6.8Ge0.8P0.2S5I1,0.00258,-2.58838029403677
Li6.8La3Zr1.8Sb0.2O12,5.9e-05,-4.229073994178928
Li6.8La3Zr1.8Ta0.2O12,0.00028,-3.552
Li6.8La3Zr1.9Mo0.1O12,8e-05,-4.096910013008056
Li6Br3N,1.6e-07,-7.2545
Li6CaLa2Nb2O12,1.6e-06,-5.7954400086720375
Li6CaLa2Ta2O12,2.2e-06,-5.657577319177793
Li6CoCl8,1.51e-06,-5.821
Li6Cu(B2O5)2,1e-13,-13.0
Li6FeCl8,8.97e-08,-7.047
Li6Ge2O7,8.5e-07,-6.070581074285707
Li6La2MgTa2O12,1.92e-07,-6.716
Li6La3Y0.5Nb1.5O12,0.000188,-3.72542107536816
Li6La3ZrSbO12,0.00026,-3.5850133260145913
Li6La3ZrTaO12,0.00016,-3.795
Li6NiCl8,2.69e-10,-9.569
Li6P1S5Br0.25Cl0.75,0.00226,-2.6458915608525992
Li6P1S5Br0.5Cl0.5,0.00333,-2.4775557664936803
Li6P1S5Br0.75Cl0.25,0.00186,-2.7304870557820835
Li6P1S5I0.25Br0.75,0.000112,-3.9507819773298185
Li6P1S5I0.5Br0.5,2.62e-05,-4.581698708680254
Li6P1S5I0.75Br0.25,4.72e-06,-5.3260580013659125
Li6P1Se0.1S4.9Br1,0.0032,-2.494850021680094
Li6P1Se0.2S4.8Br1,0.00392,-2.406713932979543
Li6P1Se0.3S4.7Br1,0.00362,-2.441291429466834
Li6P1Se0.4S4.6Br1,0.00364,-2.438898616350944
Li6P1Se0.5S4.5Br1,0.00268,-2.571865205971211
Li6P1Se0.6S4.4Br1,0.00278,-2.555955204081924
Li6P1Se0.7S4.3Br1,0.00301,-2.5214335044061564
Li6P1Se0.8S4.2Br1,0.00348,-2.4584207560534193
Li6P1Se0.9S4.1Br1,0.00382,-2.417936637088291
Li6PClO5,1e-09,-9.0
Li6PS5Br,0.0006975,-3.1561409910166707
Li6PS5Cl,0.000537,-3.27
Li6PS5I,0.00011065,-4.771816983435478
Li6PSeS4Br,0.00361,-2.4424927980943423
Li6Si(ClO2)2,1e-10,-10.0
Li6Zr2O7,5.2e-10,-9.2839966563652
Li7.06La3Y0.06Zr1.94O12,0.000883,-3.0552574905606753
Li7.22Si1.5P0.5O8,1.64e-07,-6.785156151952302
Li7BiO6,1.58489e-06,-5.800000874803203
Li7Ge3PS12,0.00011,-3.9583036574208874
Li7GePS8,0.007,-2.154901959985743
Li7La3Hf2O12,9.85e-07,-6.006563769502388
Li7La3Ta2O13,2.65e-06,-5.576377063031596
Li7La3Zr1.89Al0.15O12,0.00034,-3.4682605414788723
Li7La3Zr2O12,2.3e-05,-4.638
Li7P3S11,0.0032,-2.494
Li7SbO6,6.7e-08,-7.173925197299173
Li8GeP4,5.2000000000000004e-05,-4.4051145218265635
Li8SiP4,4.5e-05,-4.346787486224656
Li9.54Si1.74P1.44S11.7Cl0.3,0.025,-1.6020299956639812
Li9.6P3S12,0.00139,-2.8609093769761875
Li9.81Sn0.81P2.19S12,0.0055,-2.259318655252878
Li9AlSiO8,2.3e-07,-6.638
Li9Mg3P4O16F3,1e-10,-10.0
LiAl(SiO3)2,3.49e-09,-8.457
LiAlCl4,1e-06,-6.0
LiAlGeO4,1e-10,-10.0
LiAlH4,5.35e-09,-8.379240373690692
LiAlSb(PO4)3,3.17e-08,-7.498470368891125
LiB6O9F,1e-10,-10.0
LiBH4,9.89e-08,-7.004
LiBO2,1e-08,-8.0
LiBiO2,3.8e-08,-7.42021640338319
LiCaTiNbO6,6.07e-07,-6.216
LiCeB3H12Cl,0.000103,-3.987162775294828
LiCrSb(PO4)3,3.57e-10,-9.447165891943904
LiF,1.18e-14,-13.92960042
LiFePO4,1.1e-09,-8.958
LiFeSb(PO4)3,1.37e-06,-5.863139716421797
LiGa2GeS6,3.8e-08,-7.42021640338319
LiGaBr4,7e-06,-5.154901959985743
LiGaGeO4,1e-10,-10.0
LiGaO2,2.4e-14,-13.619788758288394
LiGaSiO4,1.08e-11,-10.9652893
LiGd(PO3)4,1e-10,-10.0
LiGe2(PO4)3,5.265e-07,-6.30977788324684
LiH7C3NClO,0.00016,-3.795880017344075
LiHf2(PO4)3,6.85e-07,-6.164309428507575
LiHfTi(PO4)3,5.63e-07,-6.249
LiI,2.8e-08,-7.552
LiLaNb2O7,1e-08,-8.0
LiLaO2,1e-10,-10.0
LiLaTi2O6,0.001,-3.0
LiLaTiO4,1e-10,-10.0
LiMgPO4,6.31e-12,-11.19997064
LiNdTiO4,1e-10,-10.0
LiPS3,7.8e-11,-10.10790539730952
LiSbO2,1e-10,-10.0
LiScO2,1e-10,-10.0
LiSi2N3,6.17e-08,-7.209714835966758
LiSn2(PO4)3,2e-09,-8.698
LiTa2PO8,0.0016,-2.7954400086720375
LiTaAl(PO4)3,6.5e-07,-6.187043321678573
LiTi2(PO4)3,3.1e-05,-4.9604093769761874
LiVO3,2.05e-09,-8.688246138944246
LiVPO4F,8.1e-07,-6.0915149811213505
LiYO2,1.8e-08,-7.7447274948966935
LiZnPS4,5.4e-08,-7.267606240177032
LiZr2(PO4)3,5e-08,-7.301
LiZrTi(PO4)3,4e-08,-7.397
Na0.125Li0.375La0.5Ti1O3,0.000158,-3.8
Na0.1Li0.1La0.6Ti1O3,6.15e-05,-4.211
Na0.1Li0.4La0.5Nb2O6,9.92e-06,-5.0034883278458215
Na0.2Li0.3La0.5Nb2O6,1.11e-05,-4.954677021213342
Na0.3Li0.2La0.5Nb2O6,1.18e-05,-4.928117992693875
Na0.43Li0.07La0.5Nb2O6,1.23e-05,-4.910094888560602
Na0.46Li0.04La0.5Nb2O6,5.91e-06,-5.228412519118745
Na0.48Li0.02La0.5Nb2O6,3.99e-06,-5.399027104313252
Na0.4Li0.1La0.5Nb2O6,1.21e-05,-4.91721462968355
Na5Li3(TiS4)2,8.8e-06,-5.055517327849831
NaLi2B(PO4)2,4.4e-18,-17.356547323513812
Sr0.06Li0.06La0.6Ti1O3,1.13e-05,-4.94692155651658
Sr0.15Li0.15La0.51Ti1O3,5.3e-05,-4.275362065199605
Sr0.1Li0.1La0.56Ti1O3,1.37e-05,-4.863279432843593
Sr0.1Li1La0.9O2,6.29e-10,-9.201349354554731
Sr0.25Li0.25La0.41Ti1O3,7.64e-05,-4.116453320712155
Sr0.275Li0.275La0.385Ti1O3,6.04e-05,-4.218963061378868
Sr0.3Li0.3La0.36Ti1O3,1.92e-05,-4.716698771296451
Sr0.4375Li0.375Hf0.25Ta0.75O3,0.00038,-3.42021640338319
Sr0.5Li0.5Ta0.75Cr0.25O3,6.155e-05,-4.210924374808178
Sr0.5Li0.5Ta0.75Fe0.25O3,0.00011300000000000001,-3.95
Sr0.6Li0.3Ta0.5Ti0.2Fe0.3O3,1e-07,-7.0
Sr0.6Li0.3Ta0.5Ti0.35Fe0.15O3,2.8e-05,-4.552
Sr0.6Li0.3Ta0.5Ti0.45Fe0.05O3,6e-05,-4.221
Sr0.6Li0.3Ta0.5Ti0.4Fe0.1O3,3.6e-05,-4.443
Sr0.6Li0.3Ta0.5Ti0.5O3,0.00017,-3.769
Sr0.6Li0.3Ti0.5Nb0.5O3,5.4e-06,-5.267
Sr0.8Li0.1Ti0.7Nb0.3O3,1e-08,-8.0
Sr0.9Li1Nb2O6F0.8,1e-10,-10.0
Sr0.9Li1Ta2O6F0.8,1e-10,-10.0
Sr1.65Li1Ta1.7Ti1.3O9,4.9e-05,-4.309
Sr1.65Li1Ti1.3Nb1.7O9,2e-05,-4.698
Sr1.65Li1Zr1.3Ta1.7O9,1.3e-05,-4.886
Sr1Li1.1Zr0.1Nb1.9O6F1,1e-10,-10.0
Sr1Li1.1Zr0.1Ta1.9O6F1,1e-10,-10.0
Sr2Li2Al(PO4)3,1e-10,-10.0
Sr2LiTaTi2O9,3.2e-05,-4.494
Sr2LiTi2NbO9,1e-06,-6.0
Sr3Li4Nb5.77Fe0.23O19.77,1e-10,-10.0
Sr3Li4Nb6O20,1e-10,-10.0
SrLi6La2(BiO6)2,2e-05,-4.698970004336019
SrLi6La2(SbO6)2,6.3e-06,-5.200659450546418
SrLi6La2Nb2O12,3.9449999999999995e-06,-5.404862171721519
SrLi6La2Ta2O12,7e-06,-5.1544509799928715
SrLiNb2O6F,1e-10,-10.0
SrLiTa2O6F,1e-10,-10.0
SrLiTaTiO6,0.00055,-3.259
SrLiTiNbO6,1e-06,-6.0
