Li_frac,avg_electronegativity,avg_atomic_mass,avg_atomic_radius,avg_row,avg_col,num_elements,formula,sigma,log_sigma
0.2765957446808511,2.284808510638298,37.68267746808511,1.0863829787234043,2.7893617021276595,9.191489361702127,6,Ba0.05Li6.5La2.95Zr1.45Ta0.55O12,0.000832,-3.079876673709276
0.2765957446808511,2.284723404255319,37.870220893617024,1.0865957446808512,2.7914893617021272,9.191489361702127,6,Ba0.1Li6.5La2.9Zr1.4Ta0.6O12,0.000832,-3.07941697468113
0.3935742971887551,1.8892771084337352,24.141446746987953,1.1917670682730923,2.6586345381526106,9.879518072289157,5,Ba0.1Li9.8Ge1P2S12,0.000561,-3.251037138743839
0.23595505617977527,2.3673033707865168,45.24272370786517,1.0612359550561798,2.898876404494382,9.707865168539325,5,Ba0.25Li5.25La2.75Ta2O12,7.41e-06,-5.130181792020672
0.2765957446808511,2.2845531914893615,38.245307744680844,1.0870212765957445,2.7957446808510635,9.191489361702127,6,Ba0.2Li6.5La2.8Zr1.3Ta0.7O12,0.000631,-3.1999706407558657
0.38709677419354843,1.89258064516129,24.736553387096777,1.1935483870967742,2.67741935483871,9.91935483870968,5,Ba0.2Li9.6Ge1P2S12,0.000572,-3.242603971206976
0.2765957446808511,2.284382978723404,38.620394595744685,1.0874468085106384,2.8,9.191489361702127,6,Ba0.3Li6.5La2.7Zr1.2Ta0.8O12,0.000492,-3.3080348972326394
0.3805668016194332,1.8959109311740892,25.336478704453437,1.195344129554656,2.6963562753036436,9.959514170040485,5,Ba0.3Li9.4Ge1P2S12,0.000707,-3.1505805862031004
0.3739837398373983,1.899268292682927,25.941281463414633,1.1971544715447153,2.715447154471544,10.0,5,Ba0.4Li9.2Ge1P2S12,0.000316,-3.500312917381596
0.24444444444444444,2.3495555555555554,44.79961044444444,1.0677777777777777,2.8888888888888884,9.6,5,Ba0.5Li5.5La2.5Ta2O12,1.41e-05,-4.85078088734462
0.3673469387755102,1.9026530612244898,26.5510213877551,1.1989795918367347,2.7346938775510203,10.040816326530612,5,Ba0.5Li9Ge1P2S12,9.98e-05,-4.000869458712629
0.2608695652173913,2.316521739130435,42.86169565217391,1.077173913043478,2.8478260869565215,9.391304347826086,6,Ba0.5Sr0.5Li6La2Ta2O12,7.1e-06,-5.1487416512809245
0.26881720430107525,2.2986021505376346,43.52744655913979,1.0865591397849461,2.860215053763441,9.29032258064516,5,Ba1.25Li6.25La1.75Ta2O12,4.99e-05,-4.30189945437661
